commit_time,commit_id,gpu_index,folder,kernel,arch,compile_status,run_status,verify_passed,timing_avg_ms,tflops,status,compile_log,run_log,notes
"20260403_175403","710a32d048cf","1","blockscale_gemm_v2","blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c_scale_dma_smem.co","sm_90a","ok","ok","0","","","verify_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c_scale_dma_smem.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c_scale_dma_smem.run.log","missing Test Passed marker"
"20260403_175403","710a32d048cf","1","blockscale_gemm_v2","blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c_transposed_scale.co","sm_90a","ok","ok","1","0.0436224","393.831","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c_transposed_scale.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c_transposed_scale.run.log",""
"20260403_175403","710a32d048cf","1","blockscale_gemm_v2","blockscale_gemm_e4m3_dyn_sm90_warpspec_persis_1p1c.co","sm_90a","ok","ok","1","0.0788141","217.98","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_warpspec_persis_1p1c.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_warpspec_persis_1p1c.run.log",""
"20260403_175403","710a32d048cf","1","blockscale_gemm_v2","blockscale_gemm_e4m3_dyn_sm90_warpspec_persis_1p1c_rhs_scale_dma_smem.co","sm_90a","ok","ok","0","","","verify_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_warpspec_persis_1p1c_rhs_scale_dma_smem.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_warpspec_persis_1p1c_rhs_scale_dma_smem.run.log","missing Test Passed marker"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_aitune_2026-03-21_iter001.co","","fail(134)","skipped","0","","","compile_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_aitune_2026-03-21_iter001.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_aitune_2026-03-21_iter001.run.log","compile failed"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_aitune_2026-03-21_iter016.co","","fail(134)","skipped","0","","","compile_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_aitune_2026-03-21_iter016.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_aitune_2026-03-21_iter016.run.log","compile failed"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3.co","","fail(134)","skipped","0","","","compile_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3.run.log","compile failed"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dynamic_sm90_swizzle32_64.co","sm_90a","ok","ok","1","1.05892","519.168","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle32_64.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle32_64.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dynamic_sm90_swizzle32_64_prepack.co","sm_90a","ok","ok","1","1.00047","549.499","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle32_64_prepack.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle32_64_prepack.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dynamic_sm90_swizzle32_64_prepack_v2.co","sm_90a","ok","fail(134)","0","","","run_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle32_64_prepack_v2.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle32_64_prepack_v2.run.log","runtime failed"
