commit_time,commit_id,gpu_index,folder,kernel,arch,compile_status,run_status,verify_passed,timing_avg_ms,tflops,status,compile_log,run_log,notes
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle64_128_prepack.co","sm_90a","ok","ok","1","0.689787","796.993","ok","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle64_128_prepack.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle64_128_prepack.run.log",""
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle64_128_prepack_regctrl.co","sm_90a","ok","ok","0","","","verify_failed","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle64_128_prepack_regctrl.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle64_128_prepack_regctrl.run.log","missing Test Passed marker"
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle64_128_prepack_tbc.co","sm_90a","ok","ok","1","0.744182","738.739","ok","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle64_128_prepack_tbc.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p2c_swizzle64_128_prepack_tbc.run.log",""
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_e4m3_dynamic_sm90_swizzle32_64.co","sm_90a","ok","ok","1","1.08909","504.784","ok","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle32_64.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle32_64.run.log",""
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_e4m3_dynamic_sm90_swizzle32_64_prepack.co","sm_90a","ok","ok","1","1.02445","536.635","ok","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle32_64_prepack.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle32_64_prepack.run.log",""
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_e4m3_dynamic_sm90_swizzle64_128.co","sm_90a","ok","ok","1","0.889143","618.298","ok","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle64_128.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle64_128.run.log",""
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_e4m3_dynamic_sm90_swizzle64_128_prepack.co","sm_90a","ok","ok","1","0.712139","771.978","ok","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle64_128_prepack.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle64_128_prepack.run.log",""
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_e4m3_swizzlex128x128.co","","fail(134)","skipped","0","","","compile_failed","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_swizzlex128x128.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_swizzlex128x128.run.log","compile failed"
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_e4m3_swizzlex64x128.co","","fail(134)","skipped","0","","","compile_failed","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_swizzlex64x128.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_swizzlex64x128.run.log","compile failed"
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_e4m3_warpspec_1p2c.co","","fail(134)","skipped","0","","","compile_failed","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_warpspec_1p2c.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_warpspec_1p2c.run.log","compile failed"
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_f16.co","","fail(134)","skipped","0","","","compile_failed","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_f16.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_f16.run.log","compile failed"
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle128_128.co","sm_90a","ok","fail(134)","0","","","run_failed","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle128_128.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle128_128.run.log","runtime failed"
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack.co","sm_90a","ok","ok","1","1.5095","364.197","ok","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack.run.log",""
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_trial.co","sm_90a","ok","ok","1","1.3162","417.684","ok","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_trial.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_trial.run.log",""
"20260320_224644","d9d7baa75d56","0","gemm_sp","gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle64_128.co","sm_90a","ok","fail(134)","0","","","run_failed","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle64_128.compile.log","/home/kiki/choreo/build/kernel-batch/20260320_224644_d9d7baa75d56/logs/benchmark__performance__gemm_sp__gemm_sp_f16_dyn_sm90_warpspec_1p1c_swizzle64_128.run.log","runtime failed"
